Pollster,PPM,538 Grade,ADPA
Dan Jones & Associates,0.398758179,B-,9.849706068
Centre College,0.400209546,B/C,4.75
Blumenthal Research Daily,0.400277834,F,1
New Mexico State University,0.401321533,B/C,
Aspen Media & Market Research,0.401417377,B/C,
Voter/Consumer Research,0.401513579,B/C,2.520009024
Jim Meader (KELOLAND-TV),0.401538583,B/C,
Garin-Hart-Yang Research Group,0.403424842,B/C,4.90381552
Manhattanville College,0.403556164,B/C,7.177654339
Canisius College,0.407868661,B/C,
Central Surveys Inc.,0.407868661,B/C,
Scripps Howard,0.409667512,B/C,2.75
Cooper & Secrest,0.413476234,B/C,
Red Sea Communications,0.413476234,B/C,
Thirty-Ninth Street Strategies,0.41737955,B/C,3
Dynamic Marketing Inc.,0.418347207,B/C,
Vox Populi Communications,0.418347207,B/C,6
Diversified Research Inc,0.418347207,B/C,
Global Strategy Group/National Research (Philadelphia Inquirer),0.420258984,B/C,2.277777778
Lauer Lalley Victoria Inc.,0.422575905,B/C,
Overtime Politics,0.422788094,F,6.936350565
Becker Institute,0.423056678,B/C,11.5
Ohio State University,0.424319532,B/C,
Opinion Savvy/InsiderAdvantage,0.426169482,B-,5.901327838
Morningside College,0.429035332,B/C,2.349999905
Dartmouth College,0.432263352,B/C,
Market Trends Pacific,0.433949041,B/C,
Basswood Research,0.435212241,B/C,
Wick Communications,0.437612247,B/C,5
Bendixen & Amandi International,0.437687068,B/C,
NRECA Market Research,0.437951686,B/C,
Associated Industries of Florida,0.440276585,B/C,
University of North Carolina,0.440433786,B/C,1
University of Denver,0.443038021,B/C,4.5
Analytical Group,0.443293401,B/C,3.666666667
ASA Marketing Group,0.44351054,B/C,
Belden Russonello,0.447765471,B/C,
Feldman Group,0.447865285,B/C,1.5
Meeting Street Research,0.450447489,B/C,3
University of Nevada Las Vegas,0.451484563,B/C,
Cromer Group,0.452398128,B/C,
West Virginia Research Center,0.454052358,B/C,5.333333333
Rhode Island College,0.459485776,B/C,3.899063505
Braun Research,0.46186214,B/C,2.5
Zimmerman & Associates/Marketing Intelligence,0.463097083,B/C,2.199998856
Virginia Commonwealth University,0.466962656,B/C,5.321459968
DFM Research,0.469706555,B/C,2.498721331
Public Strategies Inc.,0.475402161,B/C,7.643708774
Clarus Research Group,0.477315095,B/C,
Independent Market Research,0.478321103,B/C,5.5
University of Maryland,0.479522909,B/C,
Insights West,0.479610535,B/C,3.128146467
Rice University,0.481337462,B/C,2.300510257
Val Smith,0.481638986,B/C,
Kiley & Company,0.484932068,B/C,7.407477288
SMS Research & Marketing Services Inc.,0.488758382,B/C,1
Old Dominion University,0.492478532,B/C,0
Polling Company/Global Strategy Group (Hotline Bullseye),0.493160166,B/C,3.15546352
Jeffrey Stonecash,0.495216941,B/C,22
A&A Research,0.496220693,B/C,
TMR Research,0.500108181,B/C,
"California State University, Bakersfield",0.500420673,B/C,
West Chester University,0.501170638,B/C,3.738936287
Illinois Wesleyan University,0.502961843,B/C,5
Hill Research Consultants,0.504705135,B/C,2.209086345
OnMessage Inc.,0.505183185,B/C,8.347072139
Tulsa Surveys,0.509941014,B/C,
Ipsos,0.510973516,B-,3.710123842
Decision Forecasting,0.511693507,B/C,3.547525734
Marketing Research Institute,0.511998,B/C,
PSI,0.512271516,B/C,2
Southern Opinion Research,0.515628738,B/C,3.5
NPR,0.518827835,B/C,2.092172685
HighGround Inc.,0.518940262,B/C,2.638004969
Minnesota State University Moorhead,0.522678722,B/C,
Talmey-Drake Research & Strategy Inc.,0.525338927,B/C,6.747448714
Arthur J. Finkelstein & Associates,0.528802534,B/C,
Florida Atlantic University,0.536228314,B/C,4.364794852
Ron Lester and Associates,0.536326646,B/C,1.850000381
Vox Populi Polling,0.537394133,B/C,4.774123349
JMC Analytics/Bold Blue Campaigns,0.537410452,B/C,26
Alaska Survey Research,0.537448046,B/C,10.26253039
Clarity Campaign Labs,0.538328364,B/C,2.659498451
CallFire,0.539584824,B/C,2.493135084
MarketAide Services Inc.,0.540530566,B/C,
Big Ten,0.541724155,B/C,5.429372336
Abacus Associates,0.544484162,B/C,
Data for Progress,0.545391965,B-,7.645687974
Forman Center,0.551662623,B/C,21
Magellan Strategies,0.556035615,B/C,6.433700696
Strategies 360,0.558179179,B/C,3.573316828
DHM Research,0.55899406,B/C,4.497297898
Bannon Communications,0.560191872,B/C,21
Opinion Consultants,0.56293142,B/C,2.242640687
Riley Research Associates,0.564142039,B/C,
Hendrix College,0.566056991,B/C,
Hoffman Research Group,0.566202356,B/C,2.060718206
Glover Park Group,0.568283356,B/C,
Y2 Analytics,0.569386327,B/C,7.137165015
Anderson Group,0.572804335,B/C,5
Baselice & Associates,0.574903005,B/C,4
Florida Poll,0.577704565,B/C,3.267868296
Market Research Insight,0.583199396,B/C,6.422841844
Howey Politics/DePauw University,0.583882242,B/C,7.196152423
Lauer Johnson Research,0.584003657,B/C,
Franklin Pierce University,0.587622176,B/C,6.021590717
Neighbor,0.58842447,B/C,13
Gonzales Research & Marketing Strategies Inc.,0.589183109,B/C,3
McCulloch Research & Polling,0.596078627,B/C,5.07343353
Concord Public Opinion Partners,0.600838978,B/C,14.64999962
Lycoming College,0.600901298,B/C,4.962127475
OpinionWorks,0.602339135,B/C,9.5
Data West Polling,0.615595959,B/C,
Tulchin Research,0.618051473,B/C,2.891996797
Spry Strategies,0.626964545,B/C,16.35768481
University of Alabama at Birmingham,0.631056379,B/C,7
Latino Decisions,0.633839262,B/C,5.25
Cherry Communications,0.6372892,B/C,11.66175435
Strategic Research Associates,0.639167807,B/C,3.249998093
SoonerPoll.com,0.644718939,B/C,5.894914281
Pew Research Center,0.652160534,B/C,3.778506682
Schapiro Group,0.655682431,B/C,6.5
WCIA-TV,0.660032431,B/C,
Pan Atlantic Research,0.671855341,B/C,7.5
David Binder Research,0.672815566,B/C,7.369999981
Rainmaker Media Group,0.673518604,B/C,
Southeastern Louisiana University,0.674085249,B/C,5.972153323
Douglas Fulmer & Associates,0.67559231,B/C,9.083333015
Ohio University,0.681605065,B/C,8.507804122
East Carolina University,0.685970642,B/C,6.535486598
Star Tribune,0.700658666,B/C,5.12298581
University of Iowa,0.702406456,B/C,13.14096253
Hays Research Group,0.711620218,B/C,8.246633447
BK Strategies,0.717350229,B/C,3.271102184
New England College,0.717983853,B/C,5.286269828
Hellenthal & Associates,0.724749686,B/C,18
Hickman Analytics,0.728240224,B/C,
St. Cloud State University,0.730459659,B/C,5.819082244
RRH Elections,0.731497033,B/C,3.888251872
Benenson Strategy Group,0.731872339,B/C,9.891467459
Greg Smith and Associates,0.732408045,B/C,5.201872989
Mellman Group,0.73609962,B/C,3.719614202
Consumer Logic,0.742660173,B/C,3.09898161
East Tennessee State University,0.7449671,B/C,
Hamilton Campaigns,0.748728785,B/C,4.28383496
The Tyson Group,0.757348241,B/C,4.457868996
Keating Research/OnSight Public Affairs/Melanson,0.761903344,B/C,
1892 Polling,0.761903344,B/C,7.549999237
Starboard Communications,0.774753194,B/C,19.46868575
DCCC Targeting and Analytics Department,0.778518694,B/C,
Massie & Associates,0.779752699,B/C,
Rasmussen Reports/Pulse Opinion Research,0.789339008,C+,4.64303861
CVOTER,0.797698746,B/C,3.176030695
KG Polling,0.817175259,F,1
IMGE Insights,0.837855416,B/C,6.528668584
Millersville University,0.8411209,B/C,5.774199412
University of Georgia,0.841492796,B/C,1.300001144
University of New Orleans,0.848792346,B/C,8.604677618
FM3 Research,0.860545819,B/C,8.83540105
Zogby Interactive/JZ Analytics,0.862187795,C+,5.03575026
Marketing Workshop,0.870084668,B/C,2.644916366
Kimball Political Consulting,0.876418192,B/C,6.495542784
Momentum Analysis,0.882603533,B/C,
ROI Rocket,0.883714286,B/C,3.649999619
R.L. Repass & Partners,0.885124547,B/C,
Univision/University of Houston/Latino Decisions,0.885468071,B/C,4.649999619
Schoen Consulting,0.885994482,B/C,1.944444444
20/20 Insight,0.891497907,B/C,8.800691853
Victoria Research & Consulting,0.893688318,B/C,
JMC Analytics,0.893693881,B/C,3.609630168
Sacred Heart University,0.895311271,B/C,6.400001526
Ed Renwick/Loyola University New Orleans,0.897809708,B/C,6.124871466
"Normington, Petts & Associates",0.9023852,B/C,3
Loras College,0.903153117,B/C,3.308640077
Probolsky Research,0.919090457,B/C,6.167808482
University of Texas at Tyler,0.92468806,B/C,4.936227471
Gravis Marketing,0.933655722,C,4.427713229
AtlasIntel,0.949026032,B/C,8.891209895
Harper Polling/Clarity Campaign Labs,0.952373198,B/C,
Susquehanna Polling & Research Inc.,0.95265671,C,4.755626419
Multi-Quest International,0.958343775,B/C,1.62103209
Ogden & Fry,0.962115752,B/C,5.950001526
Marketing Resource Group (MRG),0.964778536,B/C,5.616928727
Beacon Research,0.974369024,B/C,
Civiqs,0.974463382,B/C,9.257146357
Clout Research/Wenzel Strategies,0.981759272,B/C,5.215331907
Harris Insights & Analytics,0.982489838,C,4.10625954
Praecones Analytica,0.983690506,B/C,4.881398235
SocialSphere,0.983987728,B/C,6.549038106
Cole Hargrave Snodgrass & Associates,0.992414575,B/C,3.690192379
Maine People's Resource Center,0.998954021,B/C,6.762680247
Western Kentucky University,1.003911365,B/C,2
Morning Consult,1.013815516,B/C,3.513435756
Alabama State University,1.018022239,B/C,5
Glengariff Group,1.027174807,B/C,4.821079276
TargetSmart/William & Mary,1.029443435,B/C,4.010403761
Optimus,1.031062767,B/C,6.414929916
St. Pete Polls,1.041029211,C,3.583703702
Meredith College,1.044089321,B/C,2.899999619
Roanoke College,1.055833922,B/C,5.544216465
IVR Polls,1.064132514,B/C,7.977818519
Strategic National,1.090268567,B/C,5.388762756
Master Image,1.090268567,B/C,
Capital Survey Research Center,1.091117618,B/C,10.2474452
OH Predictive Insights,1.115027838,B/C,4.938785534
Riggs Research Services,1.115562453,B/C,29
Research America Inc.,1.117397135,B/C,11.87755075
Columbus Dispatch,1.122514057,B/C,5.517606719
Dixie Strategies,1.123476602,B/C,7.151050894
OnPoint,1.124923691,B/C,3.694566827
Craciun Research Group,1.127905207,B/C,
ALG Research,1.139407327,B/C,4.365861119
USC Dornsife/Los Angeles Times,1.139849152,B/C,8.682237344
The Polling Company Inc.,1.142590636,B/C,6.062209487
M4 Strategies,1.14713284,B/C,6.657002626
Victory Enterprises,1.152898462,B/C,
We Ask America,1.158327696,C,5.779927272
Edgewater Research/My People Vote,1.161150747,B/C,1.233334859
RMG Research,1.165578947,B/C,
Evan Falchuk and Lou DiNatale,1.165578947,B/C,
RABA Research,1.170699197,B/C,2.25
WPA Intelligence (WPAi),1.180154113,B/C,10.03920576
Forward Strategies,1.182779497,B/C,3.416666667
CSP Polling,1.201351411,F,4.065000534
Purple Strategies,1.201742453,B/C,2.24081628
Revily,1.228076035,B/C,2
Global Strategy Group,1.229029337,B/C,5.639051513
Pacific Market Research,1.23237935,B/C,
Arizona State University,1.236708344,B/C,0.39283184
Crantford Research,1.24820157,B/C,
Rivercity Polling,1.24820157,B/C,
AFL-CIO,1.250357338,B/C,
War Room Logistics,1.257976397,B/C,11.55555556
Diamond State Consulting Group,1.258552003,B/C,5
MRG Research,1.258713774,B/C,8.450911958
Pasquines,1.258907185,B/C,
Florida Chamber of Commerce,1.263702483,B/C,3.222222222
PSB Research,1.267098129,B/C,5.391713725
Trafalgar Group,1.269466588,C-,5.13011326
Singularis Group,1.274857468,B/C,2
Constituent Dynamics,1.275373003,B/C,10.87636665
TargetPoint,1.278644755,B/C,
BIGresearch,1.280263107,B/C,6.4
Rossman Group,1.306512387,C/D,
Remington Research Group,1.310184671,C-,4.65597982
Triumph Campaigns,1.321672128,C/D,
Liberty Opinion Research,1.32554909,C/D,2.5
Big Data Poll,1.329678858,F,6.731741859
Iona College,1.32981873,C/D,1.5
"University of California, Berkeley",1.336479064,C/D,8.310866141
Datamar,1.339602995,C/D,5.841690339
co/efficient,1.344366539,C/D,3
Change Research,1.346698102,C-,6.373709716
CrossTarget,1.348882713,C/D,15.84507935
TeleResearch Corporation,1.354139504,C/D,11.25
Critical Insights,1.354730327,C/D,11.4138076
RAND (American Life Panel),1.37384873,C/D,4.144451372
Great Lakes Strategies Group,1.380160334,C/D,10
MarblePort,1.392530101,C/D,6.25
ResearchNow,1.396978079,C/D,1
New Frontier Strategy,1.416751417,C/D,
Hampton University,1.429589167,C/D,5.482901717
Indiana University-Purdue University Fort Wayne,1.432553149,C/D,
McLaughlin & Associates,1.437659436,C/D,5.930927867
Zata3,1.441902628,C/D,
GCR & Associates,1.463078716,C/D,
Mitchell Research & Communications,1.482264795,C-,5.235019806
Slingshot Strategies,1.504041685,C/D,9
ccAdvertising,1.514003571,C/D,4.903013544
Strategy Research,1.516984144,C/D,3.8
GaPundit.com,1.524165607,C/D,
Lucid,1.553627843,D+,3.818969709
Target Insyght,1.559711767,C/D,12.19113912
Baldwin Wallace University,1.594845932,C/D,
Brown University,1.616172269,C/D,4.91416547
University of Colorado,1.626775731,C/D,
Opinion Research Associates,1.631426383,C/D,8.691025433
BWD Global,1.635056769,C/D,
Google Surveys,1.638658893,D+,3.597848356
Targoz Market Research,1.674225237,C/D,5.078721559
OurProgress (The Progress Campaign),1.67724151,F,0.5
Saguaro Strategies,1.69175907,C/D,2.444444444
Elucd,1.709617647,C/D,4.042614158
Baydoun Consulting,1.772042924,C/D,7.882077727
CPEC,1.774302791,C/D,11.18820155
Zia Poll,1.788624686,C/D,5.859122918
Glascock Group,1.899831345,C/D,20
Point Blank Political,1.902037497,C/D,9.375758475
TP Research,1.957025747,C/D,7.100002289
Carroll Strategies,1.989482744,C/D,4.512893403
Dane & Associates,1.990242778,C/D,3
Brigham Young University,2.202255351,C/D,
Swayable,2.248006265,D-,10.18616844
Fort Hays State University,2.252614756,C/D,28.25
Saint Leo University,2.513144976,C/D,8.003299804
SurveyMonkey,2.589050474,D-,5.495659223
Nielson Brothers Polling,2.955172497,C/D,8.170701832
TCJ Research,2.964047386,F,4.396163403
Humphrey Institute,3.030632907,C/D,5.487777585
Jayhawk Consulting,3.365467645,C/D,
