"year","state","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep"
2016,"Maine",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",202,47.76,38.69
2016,"Maryland",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",487,53.72,31.56
2016,"Kentucky",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",458,41.04,51.6
2016,"Oregon",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",644,46.28,37.24
2016,"Tennessee",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",541,34.58,47.28
2016,"West Virginia",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",129,39.5,55.84
2016,"Colorado",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",561,46.61,40.89
2016,"Washington",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",602,46.94,37.24
2016,"Indiana",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",434,38.27,47.14
2016,"Wisconsin",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",622,41.56,37.39
2016,"Minnesota",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",611,42.74,35.8
2016,"Massachusetts",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",598,54.07,28.57
2016,"Georgia",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",645,41.51,50.04
2016,"Virginia",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",884,49.22,38.8
2016,"New Jersey",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",953,49.93,32.23
2016,"Oregon",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",490,46.96,37.05
2016,"Kentucky",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",336,39.38,53.08
2016,"Alabama",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",341,38.3,53.84
2016,"Utah",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",249,29.5,40.87
2016,"Montana",2016-11-08,2016-10-03,2016-10-10,2016-10-06,"Montana State University Billings",590,27,43
2016,"Oregon",2016-11-08,2016-10-04,2016-10-14,2016-10-09,"Riley Research Associates",608,46,36
2016,"Texas",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",5874,36.8,44.7
2016,"California",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",8746,51.8,30.4
2016,"Illinois",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",3448,48.3,33.1
2016,"New York",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",4663,52.7,31.4
2016,"Pennsylvania",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",3704,42.7,41.2
2016,"Florida",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",5371,44,42.9
2016,"Ohio",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",3455,43.2,41.5
2016,"Virginia",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",2460,46.1,37
2016,"New Jersey",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",2377,47.7,35.7
2016,"North Carolina",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",2916,43.5,41.3
2016,"Massachusetts",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1963,51.3,28.6
2016,"Michigan",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",3014,42,36
2016,"Indiana",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1742,36.6,43.8
2016,"Minnesota",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1736,42.3,35.9
2016,"Tennessee",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1729,33.9,48.3
2016,"Georgia",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",2663,40.5,45.4
2016,"Maryland",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1652,55,29.2
2016,"Washington",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1985,47.4,31.7
2016,"Missouri",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1814,35.8,43.3
2016,"Wisconsin",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1794,42.2,37.7
2016,"Alabama",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1388,31.6,52.6
2016,"Louisiana",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1355,35.9,47.3
2016,"Arizona",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1567,37.8,46.3
2016,"Colorado",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1556,42.1,36.9
2016,"Kentucky",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1229,32.2,52.2
2016,"South Carolina",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1298,35.6,46.6
2016,"Oregon",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",1112,43.8,36
2016,"Iowa",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",972,40.4,37.3
2016,"Connecticut",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",955,46.6,35.8
2016,"Oklahoma",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",949,26.8,53.4
2016,"Mississippi",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",861,39.5,45.5
2016,"Kansas",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",776,31.6,47.5
2016,"Arkansas",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",736,30.5,48
2016,"Nevada",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",656,42.5,40.9
2016,"Nebraska",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",506,32.3,44.9
2016,"West Virginia",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",472,25.7,54
2016,"New Mexico",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",508,41.7,34.6
2016,"Maine",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",437,38.7,34
2016,"Idaho",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",416,25.3,44.8
2016,"New Hampshire",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",430,43,34.4
2016,"Montana",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",307,31.7,44.1
2016,"Hawaii",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",289,50.3,27.9
2016,"Rhode Island",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",287,47,29.2
2016,"Delaware",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",260,50.7,31.6
2016,"California",2016-11-08,2016-10-04,2016-10-14,2016-10-09,"YouGov",1250,54,30
2016,"South Dakota",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",246,31.3,49.6
2016,"Pennsylvania",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Susquehanna Polling & Research, Inc.",764,44,40
2016,"North Dakota",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",201,32.3,44.8
2016,"Alaska",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",201,37.4,37.7
2016,"Vermont",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",191,40.5,24.5
2016,"District of Columbia",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",190,79.8,6.8
2016,"Wyoming",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",151,26.2,59
2016,"District of Columbia",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",61,57.9,15.1
2016,"New Hampshire",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",76,56.62,17.43
2016,"Delaware",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",103,40.37,28.34
2016,"Rhode Island",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",51,52.2,25.04
2016,"Hawaii",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",67,49.42,29.17
2016,"Montana",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",158,32.1,40.84
2016,"North Dakota",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",58,13.34,63.29
2016,"Alaska",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",60,29.97,27.17
2016,"Idaho",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",150,24.82,32.89
2016,"Nebraska",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",233,26.88,39.06
2016,"West Virginia",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",78,27.41,50.21
2016,"South Dakota",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",65,32.71,36.87
2016,"Arkansas",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",180,34.69,40.24
2016,"Vermont",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",47,57.02,16.11
2016,"Oklahoma",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",226,33.48,41.63
2016,"Mississippi",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",186,23.91,50.69
2016,"Wyoming",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",35,11.04,52.74
2016,"Nevada",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",186,43.81,30.43
2016,"Kansas",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",250,40.37,30.72
2016,"New Mexico",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",174,35.4,28.14
2016,"Connecticut",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",300,44.26,26.17
2016,"Louisiana",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",223,22.83,49.2
2016,"Tennessee",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",399,33.28,43.35
2016,"Maine",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",37,42.82,41.51
2016,"Iowa",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",360,36.61,27.19
2016,"Alabama",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",379,22.51,53.8
2016,"South Carolina",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",296,31.38,45.47
2016,"Oregon",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",382,48.54,23.82
2016,"Maryland",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",368,48.14,25.89
2016,"Massachusetts",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",407,52.75,19.79
2016,"Georgia",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",456,30.76,42.67
2016,"Minnesota",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",580,39.04,25.42
2016,"Washington",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",538,45.5,27.99
2016,"Arizona",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",562,38.24,35.87
2016,"Colorado",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",529,41.46,25.52
2016,"Virginia",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",539,34.05,36.57
2016,"North Carolina",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",618,35.04,36.78
2016,"Missouri",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",585,34.15,30.38
2016,"Kentucky",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",196,35.39,34
2016,"Indiana",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",653,36.04,35.07
2016,"Michigan",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",587,39.75,28.98
2016,"Wisconsin",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",738,44.29,27.22
2016,"Pennsylvania",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",737,39.65,33.6
2016,"Ohio",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",794,32.41,35.84
2016,"New Jersey",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",618,40.3,34.19
2016,"Illinois",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",1025,39.07,29.52
2016,"Texas",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",958,31.75,39.97
2016,"Florida",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",893,36.85,37.09
2016,"New York",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",875,41.72,30.76
2016,"California",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",1234,47.55,27.38
2016,"Utah",2016-11-08,2016-10-04,2016-11-06,2016-10-20,"YouGov",676,23.7,32.8
2016,"Utah",2016-11-08,2016-10-04,2016-10-09,2016-10-06,"Google Consumer Surveys",182,30.37,33.91
2016,"Wisconsin",2016-11-08,2016-10-05,2016-10-07,2016-10-06,"YouGov",993,43,39
2016,"Ohio",2016-11-08,2016-10-05,2016-10-06,2016-10-05,"Public Policy Polling",782,44,43
2016,"Wyoming",2016-11-08,2016-10-05,2016-10-11,2016-10-08,"University of Wyoming",722,20,58
2016,"Alaska",2016-11-08,2016-10-05,2016-10-06,2016-10-05,"Moore Information",500,34,37
2016,"Ohio",2016-11-08,2016-10-05,2016-10-07,2016-10-06,"YouGov",997,46,42
2016,"Florida",2016-11-08,2016-10-05,2016-10-09,2016-10-07,"Florida Atlantic University",400,48.6,42.9
2016,"Pennsylvania",2016-11-08,2016-10-05,2016-10-07,2016-10-06,"YouGov",997,48,40
2016,"Washington",2016-11-08,2016-10-06,2016-10-13,2016-10-09,"YouGov",750,53,39
2016,"Oregon",2016-11-08,2016-10-06,2016-10-13,2016-10-09,"Davis, Hibbitts & Midghall, Inc.",600,43,36
2016,"Wisconsin",2016-11-08,2016-10-06,2016-10-09,2016-10-07,"Marquette University",878,44,37
2016,"Pennsylvania",2016-11-08,2016-10-07,2016-10-11,2016-10-09,"Selzer & Company",806,48,39
2016,"Texas",2016-11-08,2016-10-07,2016-10-15,2016-10-11,"University of Houston",1000,38,41
2016,"Pennsylvania",2016-11-08,2016-10-07,2016-10-10,2016-10-08,"The Times-Picayune/Lucid",1457,47,38
2016,"Ohio",2016-11-08,2016-10-07,2016-10-10,2016-10-08,"The Times-Picayune/Lucid",1304,44,39
2016,"Indiana",2016-11-08,2016-10-07,2016-10-10,2016-10-08,"The Times-Picayune/Lucid",1123,37,43
2016,"Iowa",2016-11-08,2016-10-07,2016-10-10,2016-10-08,"The Times-Picayune/Lucid",917,41,37
2016,"California",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Sacramento State",622,61,25
2016,"New Hampshire",2016-11-08,2016-10-07,2016-10-09,2016-10-08,"Public Policy Polling",600,48,37
2016,"New Hampshire",2016-11-08,2016-10-07,2016-10-11,2016-10-09,"University of Massachusetts Lowell",517,45,39
2016,"Maine",2016-11-08,2016-10-07,2016-10-09,2016-10-08,"Maine People's Resource Center",892,44,36.1
2016,"Alabama",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",452,38.93,51.28
2016,"South Carolina",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",282,43.53,48.62
2016,"Connecticut",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",401,51.05,36.25
2016,"Kentucky",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",463,37.65,56.14
2016,"Oregon",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",592,46.26,37.69
2016,"Maine",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",206,45.5,39.17
2016,"New Mexico",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",141,48.54,39.41
2016,"New Hampshire",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",164,44.41,40.21
2016,"Delaware",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",115,47.87,36.17
2016,"Montana",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",101,31.59,47.82
2016,"Idaho",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",163,30.1,53.87
2016,"Ohio",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",1839,43.41,42.75
2016,"Arizona",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",883,38.92,44.56
2016,"North Carolina",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",1056,46.33,42.42
2016,"Michigan",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",1168,43.78,37.33
2016,"Kansas",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",312,38.44,51.94
2016,"Nevada",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",291,40.2,40.11
2016,"Arkansas",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",288,34.03,53.17
2016,"Iowa",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",360,44.39,41.78
2016,"Louisiana",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",411,34,52.56
2016,"Oklahoma",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",371,35.68,52.33
2016,"West Virginia",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",145,36.53,55.79
2016,"Pennsylvania",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",1153,46.13,41.91
2016,"Missouri",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",321,37.03,48.14
2016,"Maryland",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",369,53.03,28.62
2016,"Tennessee",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",433,34.69,44.35
2016,"Washington",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",488,46.14,42.36
2016,"Mississippi",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",161,33.21,51.84
2016,"Nebraska",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",196,35.45,49.98
2016,"Colorado",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",445,45.01,41.24
2016,"Indiana",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",354,38.42,49.04
2016,"Minnesota",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",499,44.14,32.36
2016,"Wisconsin",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",470,45.38,41.86
2016,"Massachusetts",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",476,57,25.36
2016,"Georgia",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",523,40.91,49.4
2016,"New Jersey",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",795,52.66,31.71
2016,"Virginia",2016-11-08,2016-10-07,2016-10-20,2016-10-13,"Ipsos",685,49.04,37.04
2016,"Illinois",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",409,60.31,27.44
2016,"New York",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",434,52.61,26.67
2016,"Florida",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",1019,47.57,41.81
2016,"Texas",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",422,31.57,57
2016,"California",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",553,65.89,22.37
2016,"Ohio",2016-11-08,2016-10-07,2016-10-13,2016-10-10,"Ipsos",1490,42.15,42.98
2016,"Utah",2016-11-08,2016-10-07,2016-10-27,2016-10-17,"Ipsos",244,30.54,44.17
2016,"New Mexico",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",889,41,33
2016,"New Hampshire",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",569,47,36
2016,"Nevada",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",884,40,44
2016,"Iowa",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1135,40,45
2016,"Virginia",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1644,49,38
2016,"Wisconsin",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1076,43,38
2016,"Ohio",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1307,41,44
2016,"Arizona",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1028,41,44
2016,"Pennsylvania",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1449,46,40
2016,"Texas",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1332,42,44
2016,"Michigan",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1331,45,37
2016,"Colorado",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",956,44,37
2016,"North Carolina",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1191,46,40
2016,"Georgia",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",886,45,41
2016,"Florida",2016-11-08,2016-10-08,2016-10-16,2016-10-12,"SurveyMonkey",1702,43,45
2016,"Ohio",2016-11-08,2016-10-09,2016-10-11,2016-10-10,"Baldwin Wallace University",1152,43.2,34.4
2016,"Missouri",2016-11-08,2016-10-09,2016-10-11,2016-10-10,"Monmouth University",406,41,46
2016,"Utah",2016-11-08,2016-10-09,2016-10-09,2016-10-09,"Google Consumer Surveys",500,22.8,22.6
2016,"Missouri",2016-11-08,2016-10-09,2016-10-11,2016-10-10,"Remington",2171,42,47
2016,"Montana",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Mason-Dixon Polling & Research, Inc.",1003,36,46
2016,"North Carolina",2016-11-08,2016-10-10,2016-10-15,2016-10-12,"CNN/Opinion Research Corp.",788,48,47
2016,"Ohio",2016-11-08,2016-10-10,2016-10-15,2016-10-12,"CNN/Opinion Research Corp.",774,44,48
2016,"Ohio",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Marist College",724,41,42
2016,"Colorado",2016-11-08,2016-10-10,2016-10-16,2016-10-13,"Quinnipiac University",685,45,37
2016,"Texas",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"SurveyUSA",638,43,47
2016,"Oregon",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"SurveyUSA",654,48,38
2016,"Nevada",2016-11-08,2016-10-10,2016-10-11,2016-10-10,"Clarity Campaign Labs",1010,43,43
2016,"Arizona",2016-11-08,2016-10-10,2016-10-15,2016-10-12,"Arizona State University",713,43.4,37.8
2016,"North Carolina",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Marist College",743,45,41
2016,"Indiana",2016-11-08,2016-10-10,2016-10-16,2016-10-13,"Ball State University",544,37,43
2016,"Michigan",2016-11-08,2016-10-10,2016-10-11,2016-10-10,"Glengariff Group, Inc.",600,42.2,30.6
2016,"Pennsylvania",2016-11-08,2016-10-10,2016-10-16,2016-10-13,"Quinnipiac University",660,47,41
2016,"North Carolina",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Suffolk University",500,44.8,43.4
2016,"Utah",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Monmouth University",403,28,34
2016,"Ohio",2016-11-08,2016-10-10,2016-10-16,2016-10-13,"Quinnipiac University",624,45,45
2016,"Nevada",2016-11-08,2016-10-10,2016-10-15,2016-10-12,"CNN/Opinion Research Corp.",698,46,44
2016,"Nevada",2016-11-08,2016-10-10,2016-10-11,2016-10-10,"Public Policy Polling",986,47,43
2016,"New Hampshire",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"MassINC Polling Group",501,41,38
2016,"North Carolina",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Emerson College",600,46,42
2016,"Virginia",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Emerson College",600,46,43
2016,"Florida",2016-11-08,2016-10-10,2016-10-16,2016-10-13,"Quinnipiac University",660,48,44
2016,"Utah",2016-11-08,2016-10-10,2016-10-11,2016-10-10,"Y2 Analytics",500,26,26
2016,"Nevada",2016-11-08,2016-10-10,2016-10-13,2016-10-11,"JMC Enterprises",600,43,41
2016,"Ohio",2016-11-08,2016-10-10,2016-10-12,2016-10-11,"Emerson College",600,45,43
