"state","year","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep","real_dem","real_rep","candidate","logp","id","row_id","Abbrev","week"
"Missouri","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",433,36.11,48.21,38.1,56.8,"D",-0.053644446843289,18,18,"MO",5
"Nebraska","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",207,34.73,46.81,33.7,58.7,"D",0.0301060293976664,19,19,"NE",5
"Maine","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",202,47.76,38.69,47.8,44.9,"D",-0.000837170413063659,20,20,"ME",5
"Maryland","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",487,53.72,31.56,60.3,33.9,"D",-0.115546732078103,21,21,"MD",5
"Kentucky","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",458,41.04,51.6,32.7,62.5,"D",0.227172122959306,22,22,"KY",5
"Oregon","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",644,46.28,37.24,50.1,39.1,"D",-0.0793111057653433,23,23,"OR",5
"Tennessee","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",541,34.58,47.28,34.7,60.7,"D",-0.00346420669766924,24,24,"TN",5
"West Virginia","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",129,39.5,55.84,26.4,68.5,"D",0.402936661754806,25,25,"WV",5
"Colorado","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",561,46.61,40.89,48.2,43.3,"D",-0.0335439106719052,26,26,"CO",5
"Washington","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",602,46.94,37.24,52.5,36.8,"D",-0.111942979174701,27,27,"WA",5
"Indiana","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",434,38.27,47.14,37.9,56.8,"D",0.0097151873492304,28,28,"IN",5
"Wisconsin","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",622,41.56,37.39,46.5,47.2,"D",-0.112314146362284,29,29,"WI",5
"Minnesota","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",611,42.74,35.8,46.4,44.9,"D",-0.082164209341208,30,30,"MN",5
"Massachusetts","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",598,54.07,28.57,60,32.8,"D",-0.104065058828187,31,31,"MA",5
"Georgia","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",645,41.51,50.04,45.6,50.8,"D",-0.0939733544553931,32,32,"GA",5
"Virginia","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",884,49.22,38.8,49.7,44.4,"D",-0.00970488813967337,33,33,"VA",5
"New Jersey","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",953,49.93,32.23,55,41,"D",-0.096711160719953,34,34,"NJ",5
"Oregon","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",490,46.96,37.05,50.1,39.1,"D",-0.0647248325709781,35,35,"OR",5
"Kentucky","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",336,39.38,53.08,32.7,62.5,"D",0.185882995307772,36,36,"KY",5
"Alabama","2016","2016-11-08","2016-09-30","2016-10-13",2016-10-06,"Ipsos",341,38.3,53.84,34.4,62.1,"D",0.107393331807248,37,37,"AL",5
"Utah","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",249,29.5,40.87,27.5,45.5,"D",0.0702042586732486,38,38,"UT",5
"Montana","2016","2016-11-08","2016-10-03","2016-10-10",2016-10-06,"Montana State University Billings",590,27,43,35.8,56.2,"D",-0.282111027402326,39,39,"MT",5
"Oregon","2016","2016-11-08","2016-10-04","2016-10-14",2016-10-09,"Riley Research Associates",608,46,36,50.1,39.1,"D",-0.0853796116017242,40,40,"OR",5
"Texas","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",5874,36.8,44.7,43.2,52.2,"D",-0.16034265007518,41,41,"TX",3
"California","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",8746,51.8,30.4,61.7,31.6,"D",-0.174893781645905,42,42,"CA",3
"Illinois","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",3448,48.3,33.1,55.8,38.8,"D",-0.144342308728738,43,43,"IL",3
"New York","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",4663,52.7,31.4,59,36.5,"D",-0.112921988358403,44,44,"NY",3
"Pennsylvania","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",3704,42.7,41.2,47.5,48.2,"D",-0.106530790806017,45,45,"PA",3
"Florida","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",5371,44,42.9,47.8,49,"D",-0.0828360055791491,46,46,"FL",3
"Ohio","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",3455,43.2,41.5,43.6,51.7,"D",-0.00921665510492395,47,47,"OH",3
"Virginia","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",2460,46.1,37,49.7,44.4,"D",-0.0751919830999802,48,48,"VA",3
"New Jersey","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",2377,47.7,35.7,55,41,"D",-0.142401787338175,49,49,"NJ",3
"North Carolina","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",2916,43.5,41.3,46.2,49.8,"D",-0.0602188599930548,50,50,"NC",3
"Massachusetts","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1963,51.3,28.6,60,32.8,"D",-0.156653810045377,51,51,"MA",3
"Michigan","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",3014,42,36,47.3,47.5,"D",-0.118840677214519,52,52,"MI",3
"Indiana","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1742,36.6,43.8,37.9,56.8,"D",-0.03490287168106,53,53,"IN",3
"Minnesota","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1736,42.3,35.9,46.4,44.9,"D",-0.0925123731799773,54,54,"MN",3
"Tennessee","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1729,33.9,48.3,34.7,60.7,"D",-0.023324672566409,55,55,"TN",3
"Georgia","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",2663,40.5,45.4,45.6,50.8,"D",-0.118605742407847,56,56,"GA",3
"Maryland","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1652,55,29.2,60.3,33.9,"D",-0.0919989185006688,57,57,"MD",3
"Washington","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1985,47.4,31.7,52.5,36.8,"D",-0.102190940896547,58,58,"WA",3
"Missouri","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1814,35.8,43.3,38.1,56.8,"D",-0.0622663887260008,59,59,"MO",3
"Wisconsin","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1794,42.2,37.7,46.5,47.2,"D",-0.0970320915513444,60,60,"WI",3
"Alabama","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1388,31.6,52.6,34.4,62.1,"D",-0.0848994437864862,61,61,"AL",3
"Louisiana","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1355,35.9,47.3,38.5,58.1,"D",-0.0699209457995054,62,62,"LA",3
"Arizona","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1567,37.8,46.3,45.1,48.7,"D",-0.176573143883091,63,63,"AZ",3
"Colorado","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1556,42.1,36.9,48.2,43.3,"D",-0.135311280368219,64,64,"CO",3
"Kentucky","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1229,32.2,52.2,32.7,62.5,"D",-0.0154086253528451,65,65,"KY",3
"South Carolina","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1298,35.6,46.6,40.7,54.9,"D",-0.133882454590564,66,66,"SC",3
"Oregon","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",1112,43.8,36,50.1,39.1,"D",-0.134387190708419,67,67,"OR",3
"Iowa","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",972,40.4,37.3,41.7,51.2,"D",-0.0316713438376515,68,68,"IA",3
"Connecticut","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",955,46.6,35.8,54.6,40.9,"D",-0.158433341619259,69,69,"CT",3
"Oklahoma","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",949,26.8,53.4,28.9,65.3,"D",-0.0754397076015754,70,70,"OK",3
"Mississippi","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",861,39.5,45.5,40.1,57.9,"D",-0.0150756624054474,71,71,"MS",3
"Kansas","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",776,31.6,47.5,36.1,56.7,"D",-0.133135744745969,72,72,"KS",3
"Arkansas","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",736,30.5,48,33.7,60.6,"D",-0.0997711537449502,73,73,"AR",3
"Nevada","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",656,42.5,40.9,47.9,45.5,"D",-0.119611428486498,74,74,"NV",3
"Nebraska","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",506,32.3,44.9,33.7,58.7,"D",-0.0424306071297054,75,75,"NE",3
"West Virginia","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",472,25.7,54,26.4,68.5,"D",-0.0268730182510963,76,76,"WV",3
"New Mexico","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",508,41.7,34.6,48.3,40,"D",-0.146930431853771,77,77,"NM",3
"Maine","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",437,38.7,34,47.8,44.9,"D",-0.211186039461674,78,78,"ME",3
"Idaho","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",416,25.3,44.8,27.5,59.3,"D",-0.083381608939051,79,79,"ID",3
"New Hampshire","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",430,43,34.4,47,46.6,"D",-0.0889474860164962,80,80,"NH",3
"Montana","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",307,31.7,44.1,35.8,56.2,"D",-0.12163121252342,81,81,"MT",3
"Hawaii","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",289,50.3,27.9,62.2,30,"D",-0.21234992263944,82,82,"HI",3
"Rhode Island","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",287,47,29.2,54.4,38.9,"D",-0.146216552151838,83,83,"RI",3
"Delaware","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",260,50.7,31.6,53.1,41.7,"D",-0.0462510176507556,84,84,"DE",3
"California","2016","2016-11-08","2016-10-04","2016-10-14",2016-10-09,"YouGov",1250,54,30,61.7,31.6,"D",-0.133299884347068,85,85,"CA",5
"South Dakota","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",246,31.3,49.6,31.7,61.5,"D",-0.0126985833371273,86,86,"SD",3
"Pennsylvania","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Susquehanna Polling & Research Inc.",764,44,40,47.5,48.2,"D",-0.0765400771223344,87,87,"PA",5
"North Dakota","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",201,32.3,44.8,27.2,63,"D",0.171850256926659,88,88,"ND",3
"Alaska","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",201,37.4,37.7,36.6,51.3,"D",0.0216224640131657,89,89,"AK",3
"Vermont","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",191,40.5,24.5,56.7,30.3,"D",-0.336472236621213,90,90,"VT",3
"District of Columbia","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",190,79.8,6.8,90.5,4.1,"D",-0.125826346250117,91,91,"DC",3
"Wyoming","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",151,26.2,59,21.6,67.4,"D",0.193066096076932,92,92,"WY",3
"District of Columbia","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",61,57.9,15.1,90.5,4.1,"D",-0.446632466126931,93,93,"DC",5
"New Hampshire","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",76,56.62,17.43,47,46.6,"D",0.186214677973695,94,94,"NH",5
"Delaware","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",103,40.37,28.34,53.1,41.7,"D",-0.274089993383044,95,95,"DE",5
"Rhode Island","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",51,52.2,25.04,54.4,38.9,"D",-0.0412816589733039,96,96,"RI",5
"Hawaii","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",67,49.42,29.17,62.2,30,"D",-0.22999979918467,97,97,"HI",5
"Montana","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",158,32.1,40.84,35.8,56.2,"D",-0.109091863270684,98,98,"MT",5
"North Dakota","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",58,13.34,63.29,27.2,63,"D",-0.712449932814474,99,99,"ND",5
"Alaska","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",60,29.97,27.17,36.6,51.3,"D",-0.199851359078749,100,100,"AK",5
"Idaho","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",150,24.82,32.89,27.5,59.3,"D",-0.102536224896064,101,101,"ID",5
"Nebraska","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",233,26.88,39.06,33.7,58.7,"D",-0.226115321703367,102,102,"NE",5
"West Virginia","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",78,27.41,50.21,26.4,68.5,"D",0.037543900162424,103,103,"WV",5
"South Dakota","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",65,32.71,36.87,31.7,61.5,"D",0.0313641606670578,104,104,"SD",5
"Arkansas","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",180,34.69,40.24,33.7,60.6,"D",0.0289536236233422,105,105,"AR",5
"Vermont","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",47,57.02,16.11,56.7,30.3,"D",0.0056278727508195,106,106,"VT",5
"Oklahoma","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",226,33.48,41.63,28.9,65.3,"D",0.147106650502888,107,107,"OK",5
"Mississippi","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",186,23.91,50.69,40.1,57.9,"D",-0.51707955284229,108,108,"MS",5
"Wyoming","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",35,11.04,52.74,21.6,67.4,"D",-0.67116827384117,109,109,"WY",5
"Nevada","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",186,43.81,30.43,47.9,45.5,"D",-0.0892534025910623,110,110,"NV",5
"Kansas","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",250,40.37,30.72,36.1,56.7,"D",0.111794069526014,111,111,"KS",5
"New Mexico","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",174,35.4,28.14,48.3,40,"D",-0.310719740518798,112,112,"NM",5
"Connecticut","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",300,44.26,26.17,54.6,40.9,"D",-0.209952548127956,113,113,"CT",5
"Louisiana","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",223,22.83,49.2,38.5,58.1,"D",-0.522582780752034,114,114,"LA",5
"Tennessee","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",399,33.28,43.35,34.7,60.7,"D",-0.0417830709998057,115,115,"TN",5
"Maine","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",37,42.82,41.51,47.8,44.9,"D",-0.110020356335873,116,116,"ME",5
"Iowa","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",360,36.61,27.19,41.7,51.2,"D",-0.130179701672611,117,117,"IA",5
"Alabama","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",379,22.51,53.8,34.4,62.1,"D",-0.424096909460712,118,118,"AL",5
"South Carolina","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",296,31.38,45.47,40.7,54.9,"D",-0.260057345143663,119,119,"SC",5
"Oregon","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",382,48.54,23.82,50.1,39.1,"D",-0.0316328077923638,120,120,"OR",5
"Maryland","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",368,48.14,25.89,60.3,33.9,"D",-0.225218671378214,121,121,"MD",5
"Massachusetts","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",407,52.75,19.79,60,32.8,"D",-0.128780789865925,122,122,"MA",5
"Georgia","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",456,30.76,42.67,45.6,50.8,"D",-0.393692571882897,123,123,"GA",5
"Minnesota","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",580,39.04,25.42,46.4,44.9,"D",-0.172712697687318,124,124,"MN",5
"Washington","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",538,45.5,27.99,52.5,36.8,"D",-0.143100843640673,125,125,"WA",5
"Arizona","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",562,38.24,35.87,45.1,48.7,"D",-0.165000158325432,126,126,"AZ",5
"Colorado","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",529,41.46,25.52,48.2,43.3,"D",-0.150629914048921,127,127,"CO",5
"Virginia","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",539,34.05,36.57,49.7,44.4,"D",-0.378174900507062,128,128,"VA",5
"North Carolina","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",618,35.04,36.78,46.2,49.8,"D",-0.276489532019503,129,129,"NC",5
"Missouri","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",585,34.15,30.38,38.1,56.8,"D",-0.109451696115856,130,130,"MO",5
"Kentucky","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",196,35.39,34,32.7,62.5,"D",0.0790542164541643,131,131,"KY",5
"Indiana","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",653,36.04,35.07,37.9,56.8,"D",-0.0503216793482435,132,132,"IN",5
"Michigan","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",587,39.75,28.98,47.3,47.5,"D",-0.173900454397546,133,133,"MI",5
"Wisconsin","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",738,44.29,27.22,46.5,47.2,"D",-0.0486933946582039,134,134,"WI",5
"Pennsylvania","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",737,39.65,33.6,47.5,48.2,"D",-0.180638762959739,135,135,"PA",5
"Ohio","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",794,32.41,35.84,43.6,51.7,"D",-0.296590133201533,136,136,"OH",5
"New Jersey","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",618,40.3,34.19,55,41,"D",-0.310981716279834,137,137,"NJ",5
"Illinois","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",1025,39.07,29.52,55.8,38.8,"D",-0.356418960320286,138,138,"IL",5
"Texas","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",958,31.75,39.97,43.2,52.2,"D",-0.307947769911364,139,139,"TX",5
"Florida","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",893,36.85,37.09,47.8,49,"D",-0.260170020862065,140,140,"FL",5
"New York","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",875,41.72,30.76,59,36.5,"D",-0.346556813773148,141,141,"NY",5
"California","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",1234,47.55,27.38,61.7,31.6,"D",-0.260502141919943,142,142,"CA",5
"Utah","2016","2016-11-08","2016-10-04","2016-11-06",2016-10-20,"YouGov",676,23.7,32.8,27.5,45.5,"D",-0.14871095653144,143,143,"UT",3
"Utah","2016","2016-11-08","2016-10-04","2016-10-09",2016-10-06,"Google Consumer Surveys",182,30.37,33.91,27.5,45.5,"D",0.0992692743851319,144,144,"UT",5
"Wisconsin","2016","2016-11-08","2016-10-05","2016-10-07",2016-10-06,"YouGov",993,43,39,46.5,47.2,"D",-0.0782521968997483,145,145,"WI",5
"Ohio","2016","2016-11-08","2016-10-05","2016-10-06",2016-10-05,"Public Policy Polling",782,44,43,43.6,51.7,"D",0.00913248356327247,146,146,"OH",5
"Wyoming","2016","2016-11-08","2016-10-05","2016-10-11",2016-10-08,"University of Wyoming",722,20,58,21.6,67.4,"D",-0.0769610411361284,147,147,"WY",5
"Alaska","2016","2016-11-08","2016-10-05","2016-10-06",2016-10-05,"Moore Information",500,34,37,36.6,51.3,"D",-0.0736877157911593,148,148,"AK",5
"Ohio","2016","2016-11-08","2016-10-05","2016-10-07",2016-10-06,"YouGov",997,46,42,43.6,51.7,"D",0.0535842461341063,149,149,"OH",5
"Florida","2016","2016-11-08","2016-10-05","2016-10-09",2016-10-07,"Florida Atlantic University",400,48.6,42.9,47.8,49,"D",0.0165978914090378,150,150,"FL",5
"Pennsylvania","2016","2016-11-08","2016-10-05","2016-10-07",2016-10-06,"YouGov",997,48,40,47.5,48.2,"D",0.0104712998672954,151,151,"PA",5
"Washington","2016","2016-11-08","2016-10-06","2016-10-13",2016-10-09,"YouGov",750,53,39,52.5,36.8,"D",0.00947874395454374,152,152,"WA",5
"Oregon","2016","2016-11-08","2016-10-06","2016-10-13",2016-10-09,"Davis, Hibbitts & Midghall, Inc.",600,43,36,50.1,39.1,"D",-0.152820892397257,153,153,"OR",5
"Wisconsin","2016","2016-11-08","2016-10-06","2016-10-09",2016-10-07,"Marquette University Law School",878,44,37,46.5,47.2,"D",-0.0552626786750494,154,154,"WI",5
"Pennsylvania","2016","2016-11-08","2016-10-07","2016-10-11",2016-10-09,"Selzer & Co.",806,48,39,47.5,48.2,"D",0.0104712998672954,155,155,"PA",5
"Texas","2016","2016-11-08","2016-10-07","2016-10-15",2016-10-11,"University of Houston",1000,38,41,43.2,52.2,"D",-0.128254335523679,156,156,"TX",5
"Pennsylvania","2016","2016-11-08","2016-10-07","2016-10-10",2016-10-08,"The Times-Picayune/Lucid",1457,47,38,47.5,48.2,"D",-0.010582109330537,157,157,"PA",5
"Ohio","2016","2016-11-08","2016-10-07","2016-10-10",2016-10-08,"The Times-Picayune/Lucid",1304,44,39,43.6,51.7,"D",0.00913248356327247,158,158,"OH",5
"Indiana","2016","2016-11-08","2016-10-07","2016-10-10",2016-10-08,"The Times-Picayune/Lucid",1123,37,43,37.9,56.8,"D",-0.0240331994441562,159,159,"IN",5
"Iowa","2016","2016-11-08","2016-10-07","2016-10-10",2016-10-08,"The Times-Picayune/Lucid",917,41,37,41.7,51.2,"D",-0.0169290621004481,160,160,"IA",5
"California","2016","2016-11-08","2016-10-07","2016-10-13",2016-10-10,"Sacramento State",622,61,25,61.7,31.6,"D",-0.0114100667380309,161,161,"CA",5
